Shadowbonobo Reforge Plot Results:
intellect, crit_rating, haste_rating, mastery_rating, versatility_rating,  DPS, DPS-Error
0, -1000, 2000, -2000, 1000, 1.0919e+06, 237.478, 
0, -1000, 2000, -1000, 0, 1.09512e+06, 236.685, 
0, -1000, 2000, 0, -1000, 1.09751e+06, 235.278, 
0, -1000, 2000, 1000, -2000, 1.09857e+06, 233.983, 
0, 0, -2000, 0, 2000, 1.09005e+06, 390.551, 
0, 0, -2000, 1000, 1000, 1.09181e+06, 389.443, 
0, 0, -2000, 2000, 0, 1.09279e+06, 394.705, 
0, 0, -1000, -1000, 2000, 1.09814e+06, 319.131, 
0, 0, -1000, 0, 1000, 1.10108e+06, 320.322, 
0, 0, -1000, 1000, 0, 1.10284e+06, 322.667, 
0, 0, -1000, 2000, -1000, 1.10373e+06, 320.074, 
0, 0, 0, -2000, 2000, 1.09885e+06, 261.901, 
0, 0, 0, -1000, 1000, 1.10231e+06, 259.765, 
0, 0, 0, 0, 0, 1.10486e+06, 261.025, 
0, 0, 0, 1000, -1000, 1.10616e+06, 258.616, 
0, 0, 0, 2000, -2000, 1.10703e+06, 261.328, 
0, 0, 1000, -2000, 1000, 1.09752e+06, 241.881, 
0, 0, 1000, -1000, 0, 1.10065e+06, 242.092, 
0, 0, 1000, 0, -1000, 1.10272e+06, 240.521, 
0, 0, 1000, 1000, -2000, 1.10359e+06, 240.68, 
0, 0, 2000, -2000, 0, 1.09388e+06, 233.458, 
0, 0, 2000, -1000, -1000, 1.09692e+06, 236.011, 
0, 0, 2000, 0, -2000, 1.09862e+06, 234.699, 
0, 1000, -2000, -1000, 2000, 1.0925e+06, 376.98, 
0, 1000, -2000, 0, 1000, 1.09506e+06, 380.173, 
0, 1000, -2000, 1000, 0, 1.09685e+06, 380.719, 
0, 1000, -2000, 2000, -1000, 1.09757e+06, 380.198, 
0, 1000, -1000, -2000, 2000, 1.09862e+06, 306.818, 
0, 1000, -1000, -1000, 1000, 1.10207e+06, 305.219, 
0, 1000, -1000, 0, 0, 1.10427e+06, 307.466, 
0, 1000, -1000, 1000, -1000, 1.10603e+06, 303.687, 
0, 1000, -1000, 2000, -2000, 1.10629e+06, 304.948, 
0, 1000, 0, -2000, 1000, 1.10168e+06, 255.559, 
0, 1000, 0, -1000, 0, 1.10459e+06, 254.58, 
0, 1000, 0, 0, -1000, 1.10651e+06, 255.151, 
0, 1000, 0, 1000, -2000, 1.10775e+06, 253.878, 
0, 1000, 1000, -2000, 0, 1.0994e+06, 241.145, 
0, 1000, 1000, -1000, -1000, 1.10201e+06, 240.337, 
0, 1000, 1000, 0, -2000, 1.10364e+06, 241.08, 
0, 1000, 2000, -2000, -1000, 1.09549e+06, 237.02, 
