intellect, crit_rating, haste_rating, mastery_rating, versatility_rating,  DPS, DPS-Error
-1000, -3000, 3000, 1000, 0, 1.14187e+06, 256.889, 
-1000, -3000, 3000, 3000, -2000, 1.14343e+06, 253.887, 
-1000, -3000, 3000, 5000, -4000, 1.14117e+06, 251.598, 
-1000, -3000, 5000, -3000, 2000, 1.11776e+06, 259.305, 
-1000, -3000, 5000, -1000, 0, 1.12553e+06, 256.105, 
-1000, -3000, 5000, 1000, -2000, 1.12949e+06, 254.931, 
-1000, -3000, 5000, 3000, -4000, 1.12947e+06, 250.877, 
-1000, -1000, -5000, 3000, 4000, 1.07623e+06, 406.669, 
-1000, -1000, -5000, 5000, 2000, 1.07723e+06, 404.97, 
-1000, -1000, -3000, 1000, 4000, 1.11275e+06, 435.861, 
-1000, -1000, -3000, 3000, 2000, 1.1161e+06, 438.772, 
-1000, -1000, -3000, 5000, 0, 1.11609e+06, 435.916, 
-1000, -1000, -1000, -1000, 4000, 1.14216e+06, 373.663, 
-1000, -1000, -1000, 1000, 2000, 1.14791e+06, 374.19, 
-1000, -1000, -1000, 3000, 0, 1.15038e+06, 374.949, 
-1000, -1000, -1000, 5000, -2000, 1.1492e+06, 371.7, 
-1000, -1000, 1000, -3000, 4000, 1.14447e+06, 279.442, 
-1000, -1000, 1000, -1000, 2000, 1.15293e+06, 277.036, 
-1000, -1000, 1000, 1000, 0, 1.15788e+06, 273.832, 
-1000, -1000, 1000, 3000, -2000, 1.15886e+06, 269.661, 
-1000, -1000, 1000, 5000, -4000, 1.1557e+06, 264.698, 
-1000, -1000, 3000, -3000, 2000, 1.13819e+06, 266.63, 
-1000, -1000, 3000, -1000, 0, 1.14542e+06, 263.216, 
-1000, -1000, 3000, 1000, -2000, 1.14833e+06, 261.642, 
-1000, -1000, 3000, 3000, -4000, 1.14763e+06, 259.125, 
-1000, -1000, 5000, -3000, 0, 1.12646e+06, 263.984, 
-1000, -1000, 5000, -1000, -2000, 1.13217e+06, 259.286, 
-1000, -1000, 5000, 1000, -4000, 1.13422e+06, 257.274, 
-1000, 1000, -5000, 1000, 4000, 1.08701e+06, 409.391, 
-1000, 1000, -5000, 3000, 2000, 1.08978e+06, 413.765, 
-1000, 1000, -5000, 5000, 0, 1.08887e+06, 405.587, 
-1000, 1000, -3000, -1000, 4000, 1.12303e+06, 441.821, 
-1000, 1000, -3000, 1000, 2000, 1.12843e+06, 442.258, 
-1000, 1000, -3000, 3000, 0, 1.12985e+06, 439.395, 
-1000, 1000, -3000, 5000, -2000, 1.1281e+06, 440.121, 
-1000, 1000, -1000, -3000, 4000, 1.14696e+06, 347.89, 
-1000, 1000, -1000, -1000, 2000, 1.15519e+06, 344.234, 
-1000, 1000, -1000, 1000, 0, 1.15923e+06, 345.88, 
-1000, 1000, -1000, 3000, -2000, 1.15957e+06, 338.232, 
-1000, 1000, -1000, 5000, -4000, 1.1566e+06, 338.449, 
-1000, 1000, 1000, -3000, 2000, 1.15332e+06, 276.156, 
-1000, 1000, 1000, -1000, 0, 1.16031e+06, 271.784, 
-1000, 1000, 1000, 1000, -2000, 1.163e+06, 271.204, 
-1000, 1000, 1000, 3000, -4000, 1.16163e+06, 266.597, 
-1000, 1000, 3000, -3000, 0, 1.14468e+06, 268.625, 
-1000, 1000, 3000, -1000, -2000, 1.14986e+06, 264.085, 
-1000, 1000, 3000, 1000, -4000, 1.15119e+06, 260.265, 
-1000, 1000, 5000, -3000, -2000, 1.13148e+06, 262.677, 
-1000, 1000, 5000, -1000, -4000, 1.13546e+06, 262.243, 
-1000, 3000, -5000, -1000, 4000, 1.0951e+06, 418.707, 
-1000, 3000, -5000, 1000, 2000, 1.09955e+06, 415.948, 
-1000, 3000, -5000, 3000, 0, 1.10009e+06, 412.189, 
-1000, 3000, -5000, 5000, -2000, 1.09797e+06, 413.893, 
-1000, 3000, -3000, -3000, 4000, 1.1302e+06, 437.568, 
-1000, 3000, -3000, -1000, 2000, 1.13705e+06, 439.571, 
-1000, 3000, -3000, 1000, 0, 1.14089e+06, 438.807, 
-1000, 3000, -3000, 3000, -2000, 1.14078e+06, 436.321, 
-1000, 3000, -3000, 5000, -4000, 1.13653e+06, 432.433, 
-1000, 3000, -1000, -3000, 2000, 1.15697e+06, 316.464, 
-1000, 3000, -1000, -1000, 0, 1.16338e+06, 315.58, 
-1000, 3000, -1000, 1000, -2000, 1.16593e+06, 312.63, 
-1000, 3000, -1000, 3000, -4000, 1.16398e+06, 313.26, 
-1000, 3000, 1000, -3000, 0, 1.15864e+06, 276.159, 
-1000, 3000, 1000, -1000, -2000, 1.16349e+06, 271.625, 
-1000, 3000, 1000, 1000, -4000, 1.16388e+06, 269.821, 
-1000, 3000, 3000, -3000, -2000, 1.14814e+06, 265.274, 
-1000, 3000, 3000, -1000, -4000, 1.15106e+06, 264.128, 
-1000, 3000, 5000, -3000, -4000, 1.13318e+06, 262.712, 
-1000, 5000, -5000, -3000, 4000, 1.09937e+06, 416.59, 
-1000, 5000, -5000, -1000, 2000, 1.10602e+06, 417.009, 
-1000, 5000, -5000, 1000, 0, 1.10846e+06, 418.36, 
-1000, 5000, -5000, 3000, -2000, 1.10763e+06, 409.635, 
-1000, 5000, -5000, 5000, -4000, 1.10369e+06, 409.228, 
-1000, 5000, -3000, -3000, 2000, 1.143e+06, 422.405, 
-1000, 5000, -3000, -1000, 0, 1.14839e+06, 425.813, 
-1000, 5000, -3000, 1000, -2000, 1.14975e+06, 421.838, 
-1000, 5000, -3000, 3000, -4000, 1.14759e+06, 419.112, 
-1000, 5000, -1000, -3000, 0, 1.16284e+06, 298.728, 
-1000, 5000, -1000, -1000, -2000, 1.16707e+06, 297.297, 
-1000, 5000, -1000, 1000, -4000, 1.16697e+06, 290.129, 
-1000, 5000, 1000, -3000, -2000, 1.16024e+06, 271.654, 
-1000, 5000, 1000, -1000, -4000, 1.16281e+06, 267.207, 
-1000, 5000, 3000, -3000, -4000, 1.14762e+06, 265.666, 
1000, -5000, -5000, 5000, 4000, 1.04538e+06, 386.185, 
1000, -5000, -3000, 3000, 4000, 1.08048e+06, 405.659, 
1000, -5000, -3000, 5000, 2000, 1.08256e+06, 406.427, 
1000, -5000, -1000, 1000, 4000, 1.11334e+06, 406.94, 
1000, -5000, -1000, 3000, 2000, 1.11754e+06, 405.863, 
1000, -5000, -1000, 5000, 0, 1.11854e+06, 407.037, 
1000, -5000, 1000, -1000, 4000, 1.12813e+06, 287.238, 
1000, -5000, 1000, 1000, 2000, 1.1351e+06, 287.165, 
1000, -5000, 1000, 3000, 0, 1.13811e+06, 283.072, 
1000, -5000, 1000, 5000, -2000, 1.13775e+06, 281.395, 
1000, -5000, 3000, -3000, 4000, 1.1154e+06, 251.615, 
1000, -5000, 3000, -1000, 2000, 1.12481e+06, 251.179, 
1000, -5000, 3000, 1000, 0, 1.13052e+06, 247.56, 
1000, -5000, 3000, 3000, -2000, 1.13197e+06, 245.936, 
1000, -5000, 3000, 5000, -4000, 1.12964e+06, 243.244, 
1000, -5000, 5000, -3000, 2000, 1.10562e+06, 248.105, 
1000, -5000, 5000, -1000, 0, 1.11351e+06, 245.935, 
1000, -5000, 5000, 1000, -2000, 1.1178e+06, 245.601, 
1000, -5000, 5000, 3000, -4000, 1.11792e+06, 241.619, 
1000, -3000, -5000, 3000, 4000, 1.06148e+06, 399.093, 
1000, -3000, -5000, 5000, 2000, 1.06256e+06, 399.021, 
1000, -3000, -3000, 1000, 4000, 1.09554e+06, 422.069, 
1000, -3000, -3000, 3000, 2000, 1.09901e+06, 421.552, 
1000, -3000, -3000, 5000, 0, 1.09941e+06, 418.917, 
1000, -3000, -1000, -1000, 4000, 1.1264e+06, 394.396, 
1000, -3000, -1000, 1000, 2000, 1.13178e+06, 396.607, 
1000, -3000, -1000, 3000, 0, 1.13487e+06, 391.787, 
1000, -3000, -1000, 5000, -2000, 1.13366e+06, 394.018, 
1000, -3000, 1000, -3000, 4000, 1.13321e+06, 281.12, 
1000, -3000, 1000, -1000, 2000, 1.14212e+06, 276.134, 
1000, -3000, 1000, 1000, 0, 1.14696e+06, 273.368, 
1000, -3000, 1000, 3000, -2000, 1.14834e+06, 273.146, 
1000, -3000, 1000, 5000, -4000, 1.14601e+06, 273.36, 
1000, -3000, 3000, -3000, 2000, 1.1275e+06, 259.79, 
1000, -3000, 3000, -1000, 0, 1.13527e+06, 256.215, 
1000, -3000, 3000, 1000, -2000, 1.13884e+06, 252.562, 
1000, -3000, 3000, 3000, -4000, 1.13843e+06, 251.944, 
1000, -3000, 5000, -3000, 0, 1.11611e+06, 255.063, 
1000, -3000, 5000, -1000, -2000, 1.122e+06, 251.234, 
1000, -3000, 5000, 1000, -4000, 1.12424e+06, 249.024, 
1000, -1000, -5000, 1000, 4000, 1.07342e+06, 409.618, 
1000, -1000, -5000, 3000, 2000, 1.07616e+06, 406.806, 
1000, -1000, -5000, 5000, 0, 1.07604e+06, 406.684, 
1000, -1000, -3000, -1000, 4000, 1.10729e+06, 430.521, 
1000, -1000, -3000, 1000, 2000, 1.11286e+06, 436.89, 
1000, -1000, -3000, 3000, 0, 1.11448e+06, 432.894, 
1000, -1000, -3000, 5000, -2000, 1.11329e+06, 429.856, 
1000, -1000, -1000, -3000, 4000, 1.13376e+06, 370.421, 
1000, -1000, -1000, -1000, 2000, 1.1424e+06, 373.441, 
1000, -1000, -1000, 1000, 0, 1.14645e+06, 370.092, 
1000, -1000, -1000, 3000, -2000, 1.14715e+06, 371.809, 
1000, -1000, -1000, 5000, -4000, 1.14431e+06, 365.107, 
1000, -1000, 1000, -3000, 2000, 1.14459e+06, 276.114, 
1000, -1000, 1000, -1000, 0, 1.15165e+06, 272.013, 
1000, -1000, 1000, 1000, -2000, 1.15436e+06, 267.689, 
1000, -1000, 1000, 3000, -4000, 1.15339e+06, 265.779, 
1000, -1000, 3000, -3000, 0, 1.13621e+06, 264.637, 
1000, -1000, 3000, -1000, -2000, 1.14185e+06, 259.986, 
1000, -1000, 3000, 1000, -4000, 1.14311e+06, 258.955, 
1000, -1000, 5000, -3000, -2000, 1.12285e+06, 258.757, 
1000, -1000, 5000, -1000, -4000, 1.12709e+06, 255.105, 
1000, 1000, -5000, -1000, 4000, 1.0824e+06, 411.563, 
1000, 1000, -5000, 1000, 2000, 1.08719e+06, 411.822, 
1000, 1000, -5000, 3000, 0, 1.08829e+06, 408.644, 
1000, 1000, -5000, 5000, -2000, 1.08604e+06, 405.923, 
1000, 1000, -3000, -3000, 4000, 1.11586e+06, 434.733, 
1000, 1000, -3000, -1000, 2000, 1.12266e+06, 439.495, 
1000, 1000, -3000, 1000, 0, 1.12685e+06, 440.612, 
1000, 1000, -3000, 3000, -2000, 1.12673e+06, 437.271, 
1000, 1000, -3000, 5000, -4000, 1.12286e+06, 434.446, 
1000, 1000, -1000, -3000, 2000, 1.147e+06, 342.13, 
1000, 1000, -1000, -1000, 0, 1.15339e+06, 341.833, 
1000, 1000, -1000, 1000, -2000, 1.15614e+06, 338.618, 
1000, 1000, -1000, 3000, -4000, 1.1543e+06, 336.598, 
1000, 1000, 1000, -3000, 0, 1.1517e+06, 272.151, 
1000, 1000, 1000, -1000, -2000, 1.15662e+06, 270.183, 
1000, 1000, 1000, 1000, -4000, 1.15755e+06, 265.44, 
1000, 1000, 3000, -3000, -2000, 1.14112e+06, 262.715, 
1000, 1000, 3000, -1000, -4000, 1.14473e+06, 263.084, 
1000, 1000, 5000, -3000, -4000, 1.12619e+06, 258.023, 
